ID	Type	Description	from
CHROM	String	Chromosome that call lies on	VCF
POS	Integer	Position that call falls on	VCF
ID	String	identifier: Semicolon-separated list of unique identifiers where available. If this is a dbSNP variant it is encouraged to use the rs number(s).	VCF
REF	String	Comma separated list of alternate non-reference alleles.	VCF
ALT	String	Symbolic alternate alleles for imprecise structural variants	VCF
QUAL	Integer	"Phred-scaled quality score for the assertion made in ALT. i.e. _10log10 prob(call in ALT is wrong). If ALT is Ô.Õ (no variant) then this is _10log10 prob(variant), and if ALT is not Ô.Õ this is _10log10 prob(no variant). If unknown, the missing value should be specified. (Numeric)"	VCF
GT	String	"PASS if this position has passed all filters, i.e., a call is made at this position. Otherwise, if the site has not passed all filters, a semicolon-separated list of codes for filters that fail."	VCF
DP	Integer	Read Depth	VCF
GQ	Integer	conditional genotype quality	VCF
VAF	Float	Variant Allele Fraction	
ANN	String	Functional annotations: 'Allele | Annotation | Annotation_Impact | Gene_Name | Gene_ID | Feature_Type | Feature_ID | Transcript_BioType | Rank | HGVS.c | HGVS.p | cDNA.pos / cDNA.length | CDS.pos / CDS.length | AA.pos / AA.length | Distance | ERRORS / WARNINGS / INFO' 	SnpEff
LOF	String	Predicted loss of function effects for this variant. Format: 'Gene_Name | Gene_ID | Number_of_transcripts_in_gene | Percent_of_transcripts_affected'	SnpEff
NMD	String	Predicted nonsense mediated decay effects for this variant. Format: 'Gene_Name | Gene_ID | Number_of_transcripts_in_gene | Percent_of_transcripts_affected'	SnpEff
CDA	Flag	Variation is interrogated in a clinical diagnostic assay	dbSNP
OTH	Flag	Has other variant with exactly the same set of mapped positions on NCBI refernce assembly.	dbSNP
S3D	Flag	Has 3D structure - SNP3D table	dbSNP
WTD	Flag	"Is Withdrawn by submitter If one member ss is withdrawn by submitter, then this bit is set.  If all member ss' are withdrawn, then the rs is deleted to SNPHistory"	dbSNP
dbSNPBuildID	Integer	First dbSNP Build for RS	dbSNP
SLO	Flag	Has SubmitterLinkOut - From SNP->SubSNP->Batch.link_out	dbSNP
NSF	Flag	Has non-synonymous frameshift A coding region variation where one allele in the set changes all downstream amino acids. FxnClass = 44	dbSNP
R3	Flag	In 3' gene region FxnCode = 13	dbSNP
R5	Flag	In 5' gene region FxnCode = 15	dbSNP
NSN	Flag	Has non-synonymous nonsense A coding region variation where one allele in the set changes to STOP codon (TER). FxnClass = 41	dbSNP
NSM	Flag	Has non-synonymous missense A coding region variation where one allele in the set changes protein peptide. FxnClass = 42	dbSNP
G5A	Flag	>5% minor allele frequency in each and all populations	dbSNP
COMMON	Integer	RS is a common SNP.  A common SNP is one that has at least one 1000Genomes population with a minor allele of frequency >= 1% and for which 2 or more founders contribute to that minor allele frequency.	dbSNP
RS	Integer	dbSNP ID (i.e. rs number)	dbSNP
RV	Flag	RS orientation is reversed	dbSNP
TPA	Flag	Provisional Third Party Annotation(TPA) (currently rs from PHARMGKB who will give phenotype data)	dbSNP
CFL	Flag	Has Assembly conflict. This is for weight 1 and 2 variant that maps to different chromosomes on different assemblies.	dbSNP
GNO	Flag	Genotypes available. The variant has individual genotype (in SubInd table).	dbSNP
VLD	Flag	Is Validated.  This bit is set if the variant has 2+ minor allele count based on frequency or genotype data.	dbSNP
ASP	Flag	Is Assembly specific. This is set if the variant only maps to one assembly	dbSNP
ASS	Flag	In acceptor splice site FxnCode = 73	dbSNP
REF	Flag	Has reference A coding region variation where one allele in the set is identical to the reference sequence. FxnCode = 8	dbSNP
U3	Flag	In 3' UTR Location is in an untranslated region (UTR). FxnCode = 53	dbSNP
U5	Flag	In 5' UTR Location is in an untranslated region (UTR). FxnCode = 55	dbSNP
TOPMED	String	"An ordered, comma delimited list of allele frequencies based on TOPMed, starting with the reference allele followed by alternate alleles as ordered in the ALT column. The TOPMed minor allele is the second largest value in the list."	dbSNP
WGT	Integer	"Weight, 00 - unmapped, 1 - weight 1, 2 - weight 2, 3 - weight 3 or more"	dbSNP
MTP	Flag	"Microattribution/third-party annotation(TPA:GWAS,PAGE)"	dbSNP
LSD	Flag	Submitted from a locus-specific database	dbSNP
NOC	Flag	"Contig allele not present in variant allele list. The reference sequence allele at the mapped position is not present in the variant allele list, adjusted for orientation."	dbSNP
DSS	Flag	In donor splice-site FxnCode = 75	dbSNP
SYN	Flag	Has synonymous A coding region variation where one allele in the set does not change the encoded amino acid. FxnCode = 3	dbSNP
KGPhase3	Flag	1000 Genome phase 3	dbSNP
