Chromosome	Approved_Gene_Symbol	OMIM_INFO
chr1	ALPQTL2	612367.0 | ALPQTL2 | Alkaline phosphatase, plasma level of, QTL 2 | 100196914.0 | nan | linkage with rs1780324 | {Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)
chr1	ANON1	606788.0 | ANON1 | Anorexia nervosa, susceptibility to, 1 | 171514.0 | nan | nan | {Anorexia nervosa, susceptibility to, 1}, 606788 (2)
chr1	BCC1	605462.0 | BCC1 | Basal cell carcinoma, susceptibility to, 1 | 100307118.0 | nan | associated with rs7538876 | {Basal cell carcinoma, susceptibility to, 1}, 605462 (2)
chr1	BMND3	606928.0 | BMND3 | Bone mineral density QTL 3 | 246259.0 | nan | ?another locus at 3p21 | [Bone mineral density QTL 3], 606928 (2)
chr1		618815.0 | C1DUPp36.33, DUP1p36.33 | Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster | nan | nan | nan | Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster, 618815 (4), Autosomal dominant
chr1	CMM	155600.0 | CMM, MLM, DNS | Cutaneous malignant melanoma/dysplastic nevus | 1243.0 | nan | some linkage studies negative; see 9p | {Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant
chr1	CCV	115665.0 | CTRCT8, CCV | Cataract, congenital, Volkmann type | 7792.0 | nan | linked to Rh in Scottish family | Cataract 8, multiple types, 115665 (2), Autosomal dominant
chr1		607872.0 | DEL1p36, C1DELp36 | Chromosome 1p36 deletion syndrome, distal | nan | nan | contiguous gene deletion syndrome | Chromosome 1p36 deletion syndrome, distal, 607872 (4), Isolated cases
chr1		619343.0 | DEL1p36, C1DELp36 | Chromosome 1p36 deletion syndrome, proximal | nan | nan | nan | Chromosome 1p36 deletion syndrome, proximal, 619343 (4), Autosomal dominant
chr1	DYX8	608995.0 | DYX8 | Dyslexia, susceptibility to, 8 | 406874.0 | nan | between D1S552 and D1S1622 | {Dyslexia, susceptibility to, 8}, 608995 (2), Multifactorial, Autosomal dominant
chr1		131190.0 | ERPL1, HLM2 | Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2) | nan | nan | nan | nan
chr1	IBD7	605225.0 | IBD7 | Inflammatory bowel disease 7 | 57042.0 | nan | associated with rs6426833 | {Inflammatory bowel disease 7}, 605225 (2)
chr1	MS4	612596.0 | MS4 | Multiple sclerosis, susceptibility to, 4 | 100271696.0 | nan | associated with rs10492972 | {Multiple sclerosis, susceptibility to, 4}, 612596 (2)
chr1	MYP14	610320.0 | MYP14 | Myopia 14 | 100359407.0 | nan | between D1S552 and D1S1622 | Myopia 14, 610320 (2), Autosomal dominant
chr1		605606.0 | PSORS7 | Psoriasis susceptibility 7 | nan | nan | nan | {Psoriasis susceptibility 7}, 605606 (2)
chr1	PTPRZ2	604008.0 | PTPRZ2 | Protein-tyrosine phosphatase, receptor-type, zeta-2 | 5804.0 | nan | nan | nan
chr1	SAI1	154280.0 | SAI1, MTS1, TFS1 | Suppression of anchorage independence-1 (malignant transformation suppression-1) | 6298.0 | nan | nan | nan
chr1	ZBTB40-IT1	618485.0 | ZBTB40IT1 | ZBTB40 intronic transcript 1, noncoding | 100874345.0 | nan | nan | nan
chr1	SAMD11	616765.0 | SAMD11, MRS | Sterile alpha motif domain-containing protein 11 | 148398.0 | ENSG00000187634 | nan | nan
chr1	NOC2L	610770.0 | NOC2L, NIR | NOC2-like nucleolar-associated transcriptional repressor | 26155.0 | ENSG00000188976 | nan | nan
chr1	KLHL17	619262.0 | KLHL17, AF | Kelch-like 17 | 339451.0 | ENSG00000187961 | nan | nan
chr1	PERM1	615921.0 | PERM1, C1orf170 | PPARGC1-and ESRR-induced regulator, muscle, 1 | 84808.0 | ENSG00000187642 | nan | nan
chr1	HES4	608060.0 | HES4 | Hes family bHLH transcription factor 4 | 57801.0 | ENSG00000188290 | nan | nan
chr1	ISG15	147571.0 | ISG15, G1P2, IFI15, IMD38 | ISG15 ubiquitin-like modifier | 9636.0 | ENSG00000187608 | nan | Immunodeficiency 38, 616126 (3), Autosomal recessive
chr1	AGRN	103320.0 | AGRN, CMS8 | Agrin | 375790.0 | ENSG00000188157 | nan | Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive
chr1	MIR200B	612091.0 | MIR200B, MIRN200B | Micro RNA 200B | 406984.0 | ENSG00000207730 | nan | nan
chr1	MIR200A	612090.0 | MIR200A, MIRN200A | Micro RNA 200A | 406983.0 | ENSG00000207607 | nan | nan
chr1	MIR429	612094.0 | MIR429, MIRN429 | Micro RNA 429 | 554210.0 | ENSG00000198976 | nan | nan
chr1	TNFRSF18	603905.0 | TNFRSF18, AITR, GITR | Tumor necrosis factor receptor superfamily, member 18 | 8784.0 | ENSG00000186891 | nan | nan
chr1	TNFRSF4	600315.0 | TNFRSF4, TXGP1L, OX40, ACT35, IMD16 | Tumor necrosis factor receptor superfamily, member 4 | 7293.0 | ENSG00000186827 | mutation identified in 1 IMD16 family | ?Immunodeficiency 16, 615593 (3), Autosomal recessive
chr1	SDF4	614282.0 | SDF4, CAB45 | Stromal cell-derived factor 4 | 51150.0 | ENSG00000078808 | nan | nan
chr1	B3GALT6	615291.0 | B3GALT6, SEMDJL1, EDSSPD2, ALGAZ | UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6 | 126792.0 | ENSG00000176022 | nan | Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive
chr1	C1QTNF12	616593.0 | FAM132A, C1QDC2, C1QTNF12 | Family with sequence similarity 132, member A | 388581.0 | ENSG00000184163 | nan | nan
chr1	UBE2J2	619756.0 | UBE2J2, NCUBE2, UBC6 | Ubiquitin-conjugating enzyme E2 J2 | 118424.0 | ENSG00000160087 | nan | nan
chr1	SCNN1D	601328.0 | SCNN1D | Sodium channel epithelial 1, subunit delta | 6339.0 | ENSG00000162572 | nan | nan
chr1	INTS11	611354.0 | INTS11, PSF3L, RC68, NEDMLOB | Integrator complex subunit 11 | 54973.0 | ENSG00000127054 | nan | Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities, 620428 (3), Autosomal recessive
chr1	CPTP	615467.0 | GLTPD1, CPTP | Glycolipid transfer protein domain-containing protein 1 | 80772.0 | ENSG00000224051 | nan | nan
chr1	TAS1R3	605865.0 | TAS1R3, T1R3 | Taste receptor type 1, member 3 | 83756.0 | ENSG00000169962 | nan | nan
chr1	DVL1	601365.0 | DVL1, DRS2 | Dishevelled segment polarity protein 1 | 1855.0 | ENSG00000107404 | nan | Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant
chr1	MXRA8	617293.0 | MXRA8, ASP3 | Matrix remodeling-associated protein 8 | 54587.0 | ENSG00000162576 | nan | nan
